"","Date","Conference","Team","Games_Played","wins","losses","Winning_Percentage","Home_Record","Away_Record"
"1",2022-01-11,"East","Chicago",37,26,11,0.703,"14-4","12-7"
"2",2022-01-11,"East","Brooklyn",39,25,14,0.641,"11-10","14-4"
"3",2022-01-11,"East","Miami",40,25,15,0.625,"12-4","13-11"
"4",2022-01-11,"East","Milwaukee",43,26,17,0.605,"13-7","13-10"
"5",2022-01-11,"East","Philadelphia",39,23,16,0.59,"8-8","15-8"
"6",2022-01-11,"East","Cleveland",41,23,18,0.561,"11-9","12-9"
"7",2022-01-11,"East","Toronto",37,20,17,0.541,"12-10","8-7"
"8",2022-01-11,"East","Charlotte",41,22,19,0.537,"12-5","10-14"
"9",2022-01-11,"East","Washington",40,20,20,0.5,"10-7","10-13"
"10",2022-01-11,"East","Boston",41,20,21,0.488,"13-8","7-13"
"11",2022-01-11,"East","New York",41,20,21,0.488,"10-11","10-10"
"12",2022-01-11,"East","Atlanta",39,17,22,0.436,"8-9","9-13"
"13",2022-01-11,"East","Indiana",41,15,26,0.366,"12-10","3-16"
"14",2022-01-11,"East","Detroit",39,9,30,0.231,"6-13","3-17"
"15",2022-01-11,"East","Orlando",41,7,34,0.171,"2-15","5-19"
