"","Date","Conference","Team","gp","wins","losses","Winning_Percentage","Home_Record","Away_Record"
"1",2022-01-11,"West","Golden State",39,30,9,0.769,"18-3","12-6"
"2",2022-01-11,"West","Phoenix",39,30,9,0.769,"17-5","13-4"
"3",2022-01-11,"West","Utah",41,28,13,0.683,"14-7","14-6"
"4",2022-01-11,"West","Memphis",42,28,14,0.667,"14-8","14-6"
"5",2022-01-11,"West","Dallas",40,22,18,0.55,"11-8","11-10"
"6",2022-01-11,"West","Denver",38,20,18,0.526,"9-7","11-11"
"7",2022-01-11,"West","L.A. Lakers",41,21,20,0.512,"14-11","7-9"
"8",2022-01-11,"West","Minnesota",40,20,20,0.5,"11-10","9-10"
"9",2022-01-11,"West","LA Clippers",41,20,21,0.488,"13-12","7-9"
"10",2022-01-11,"West","Portland",40,16,24,0.4,"14-11","2-13"
"11",2022-01-11,"West","San Antonio",40,15,25,0.375,"7-10","8-15"
"12",2022-01-11,"West","Sacramento",43,16,27,0.372,"10-14","6-13"
"13",2022-01-11,"West","New Orleans",40,14,26,0.35,"8-11","6-15"
"14",2022-01-11,"West","Oklahoma City",39,13,26,0.333,"8-13","5-13"
"15",2022-01-11,"West","Houston",42,11,31,0.262,"7-13","4-18"
